,Std_M1(compies/ulPCR),Std_M2(compies/ulPCR),Std_M3(compies/ulPCR),Std_in_tube (copies),efficiency,total16S_M1(copies/ul pcr),total16S_M2(copies/ul pcr),total16S_M3(copies/ul pcr),average16S(copies/ul pcr),average16S(copies_in_tube),average16S(copies/mg)
oz1802-1,2082.036865,1526.421387,1704.304688,1581179.446,0.63753155,3.08E+05,2.81E+05,2.94E+05,2.94E+05,2.94E+09,2.63E+08
oz1802-2,1879.887207,1934.504761,1970.177612,1890382.216,0.69414835,3.80E+05,2.22E+05,2.91E+05,2.98E+05,2.98E+09,2.92E+08
oz1802-3,1886.235107,1567.527466,2004.618408,1467306.715,0.65500572,3.72E+05,3.79E+05,3.81E+05,3.77E+05,3.77E+09,3.04E+08
oz1802-4,1761.862793,1818.850342,1825.514404,1375630.417,0.6487473,3.77E+05,2.19E+05,3.29E+05,3.09E+05,3.09E+09,2.36E+08
oz1802-5,2442.804199,2072.950195,2512.195557,2440260.4,0.84335399,2.97E+05,3.05E+05,2.97E+05,3.00E+05,3.00E+09,3.12E+08
oz1802-6,2047.581299,2178.207031,2063.770996,1839052.435,0.75474712,4.00E+05,2.36E+05,3.69E+05,3.35E+05,3.35E+09,2.94E+08
oz1802-7,1834.314819,1712.30542,1897.978882,1451893.099,0.65335189,3.46E+05,4.23E+05,4.44E+05,4.04E+05,4.04E+09,3.23E+08
oz1802-8,1913.523682,1834.484497,1801.92627,1868664.797,0.66599213,3.22E+05,2.18E+05,3.32E+05,2.90E+05,2.90E+09,2.93E+08
oz1802-9,2043.763672,1761.356445,1729.752563,1983825.334,0.66418472,2.29E+05,2.86E+05,3.52E+05,2.89E+05,2.89E+09,3.11E+08
oz1802-10,1706.237671,1681.8927,1823.142578,1249705.743,0.62535275,4.06E+05,3.18E+05,3.91E+05,3.72E+05,3.72E+09,2.67E+08
oz1802-11,1728.519775,1780.361694,1767.036011,1352799.354,0.6331101,4.06E+05,4.85E+05,4.86E+05,4.59E+05,4.59E+09,3.53E+08
oz1802-12,1872.897583,1979.997803,1997.879517,2010575.568,0.70209299,3.93E+05,1.14E+05,3.40E+05,2.82E+05,2.82E+09,2.91E+08
oz1802-13,1356.886719,1266.82251,1367.763672,1047630.683,0.47897675,8.11E+05,5.97E+05,7.27E+05,7.12E+05,7.12E+09,5.60E+08
oz1802-14,1231.584473,1226.646606,1377.928711,1151999.937,0.46033917,8.79E+05,8.51E+05,8.94E+05,8.74E+05,8.74E+09,7.88E+08
oz1802-15,1468.948853,1457.855225,1729.609619,964060.8067,0.55876964,3.48E+05,3.40E+05,4.19E+05,3.69E+05,3.69E+09,2.29E+08
oz1802-16,21.10149574,17.45660019,12.40672684,15443.88569,,3.48E+05,3.40E+05,4.19E+05,3.69E+05,3.69E+09,3.35E+08
oz1802-17,2.178901911,0.31294632,0.636362195,1074.9864,,4.18E+05,4.23E+05,4.01E+05,4.14E+05,4.14E+09,4.27E+08
oz1802-18,1.744467258,0.694072127,1.419615507,1004.727837,,3.64E+05,3.44E+05,3.32E+05,3.47E+05,3.47E+09,2.71E+08
oz1802-19,39.25147629,45.52565384,41.7273674,#DIV/0!,,5.77E+04,4.96E+04,5.24E+04,5.32E+04,5.32E+08,#DIV/0!
oz1802-20,1.931864023,0.26542601,2.831862688,#DIV/0!,,2.29E+00,1.17E+01,6.22E+00,6.75E+00,6.75E+04,#DIV/0!
oz1802-21,135.9278564,121.3993759,127.6712646,33771.79798,0.4619982,5.54E+05,5.69E+05,5.48E+05,5.57E+05,5.57E+09,1.47E+08
oz1802-22,1365.759277,1333.265259,1292.843506,241931.3965,0.47902417,8.46E+05,7.56E+05,7.01E+05,7.67E+05,7.67E+09,1.40E+08
oz1802-23,13099.48535,10262.04004,10280.90527,2607940.362,0.40370917,7.85E+05,6.78E+05,6.78E+05,7.13E+05,7.13E+09,1.66E+08
oz1802-24,5915.577637,,,1556730.957,0.42592159,6.62E+05,7.84E+05,7.03E+05,7.16E+05,7.16E+09,1.89E+08