dataset_name,sequencingtype,trainingset,classifier,loadtype,file_path,loadcol,sampleIDcol,source_type,abundance,organismtype,sampletype,covariate1,covariate2,covariate3,covariate4,covariate5,covariate6,covariate7
Vandeputte2021 (MLP Training data),16S rRNA,,,Flow Cytometry,processedandfinalcomparisons/Vandeputte2021_scale.csv,Cell_count_per_gram,Sample_ID,Measured,total,Human,Fecal,,,,,,,
VandeVelde2022,16S rRNA,,,Flow Cytometry,processedandfinalcomparisons/VandeVelde2022_scale.csv,load,sampleID,Measured,total,Human,Fecal Cultures,,,,,,,
Pereira2023,16S rRNA,,,Flow Cytometry,processedandfinalcomparisons/Pereira2023_scale.csv,Cells.mL,Sequencing.sample.ID,Measured,total,Human,Fecal,,,,,,,
Krawczyk2022,16S rRNA,,,qPCR,processedandfinalcomparisons/Krawczyk2022_scale.csv,X16S.rRNA.content.in.ng.ÂµL,Sample.ID,Measured,total,Tick,Whole organism,,,,,,,
Liao2021,16S rRNA,,,qPCR,processedandfinalcomparisons/Liao2021_scale.csv,qPCR16S,SampleID,Measured,total,Human,Fecal,,,,,,,
Stammler2016,16S rRNA,,,qPCR,processedandfinalcomparisons/Stammler2016_scale.csv,X16S.rDNA.copies.per.sample,SampleID,Measured,total,Mice,Fecal,,,,,,,
Vandeputte2021 (MLP Training data),16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Vandeputte2021_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Vandeputte2017,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Vandeputte2017_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
VandeVelde2022,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/VandeVelde2022_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal Cultures,,,,,,,
Pereira2023,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Pereira2023_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Dreier2022,16S rRNA,Vandeputte2021,rdp,qPCR,processedandfinalcomparisons/Dreier2022_predicted16s.csv,load,sample.ID,Predicted,total,Cheese,Cheese,,,,,,,
Krawczyk2022,16S rRNA,Vandeputte2021,rdp,qPCR,processedandfinalcomparisons/Krawczyk2022_predicted16s.csv,load,sample.ID,Predicted,total,Tick,Whole organism,,,,,,,
Liao2021,16S rRNA,Vandeputte2021,rdp,qPCR,processedandfinalcomparisons/Liao2021_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Stammler2016,16S rRNA,Vandeputte2021,rdp,qPCR,processedandfinalcomparisons/Stammler2016_predicted16s.csv,load,sample.ID,Predicted,total,Mice,Fecal,,,,,,,
Vandeputte2021 (MLP Training data),16S rRNA,,,Flow Cytometry,counts/Vandeputte_2021_16S.csv,,,,counts,Human,Fecal,,,,,,,
Vandeputte2017,16S rRNA,,,Flow Cytometry,counts/Vandeputte_2017_16S.csv,,,,counts,Human,Fecal,,,,,,,
Vandeputte2017,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Vandeputte2017_scale.csv,count,ENA_ID,Measured,total,Human,Fecal,,,,,,,
VandeVelde2022,16S rRNA,,,Flow Cytometry,counts/VandeVelde_2022_16S.csv,,,,counts,Human,Fecal Cultures,,,,,,,
Pereira2023,16S rRNA,,,Flow Cytometry,counts/Pereira_2023_16S.csv,,,,counts,Human,Fecal,,,,,,,
Dreier2022,16S rRNA,,,qPCR,counts/Dreier_2022_16S.csv,,,,counts,Cheese,Cheese,,,,,,,
Krawczyk2022,16S rRNA,,,qPCR,counts/Krawczyk_2022_16S.csv,,,,relative,Tick,Whole organism,,,,,,,
Liao2021,16S rRNA,,,qPCR,counts/Liao_2021_16S.csv,,,,counts,Human,Fecal,,,,,,,
Stammler2016,16S rRNA,,,qPCR,counts/Stammler_2016_16S.csv,,,,counts,Mice,Fecal,,,,,,,
GALAXY (MLP Training data),shotgun metagenomics,,,Flow Cytometry,processedandfinalcomparisons/GALAXY_scale.csv,count,ID,Measured,total,Human,Fecal,,,,,,,
MetaCardis (MLP Training data),shotgun metagenomics,,,Flow Cytometry,processedandfinalcomparisons/MetaCardis_scale.csv,count,ID,Measured,total,Human,Fecal,,,,,,,
GALAXY (MLP Training data),shotgun metagenomics,MetaCardis,motus25,Flow Cytometry,processedandfinalcomparisons/GALAXY_MC_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
MetaCardis (MLP Training data),shotgun metagenomics,MetaCardis,motus25,Flow Cytometry,processedandfinalcomparisons/MetaCardis_MC_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
GALAXY (MLP Training data),shotgun metagenomics,,,Flow Cytometry,counts/GALAXY_shotgunmetagenomics.csv,,,,relative,Human,Fecal,,,,,,,
MetaCardis (MLP Training data),shotgun metagenomics,,,Flow Cytometry,counts/MetaCardis_shotgunmetagenomics.csv,,,,relative,Human,Fecal,,,,,,,
GALAXY (MLP Training data),shotgun metagenomics,GALAXY,motus25,Flow Cytometry,processedandfinalcomparisons/GALAXY_G_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
MetaCardis (MLP Training data),shotgun metagenomics,GALAXY,motus25,Flow Cytometry,processedandfinalcomparisons/MetaCardis_G_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Global2024,shotgun metagenomics,,,None,counts/Global_shotgunmetagenomics.csv,,,,relative,Human,Fecal,,,,,,,
Global2024,shotgun metagenomics,GALAXY,motus25,None,processedandfinalcomparisons/Global2024_G_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Global2024,shotgun metagenomics,MetaCardis,motus25,None,processedandfinalcomparisons/Global2024_MC_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Marotz2021,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Marotz2021_predicted16s.csv,load,sample.ID,Predicted,total,Human,Saliva,,,,,,,
Marotz2021,16S rRNA,,,Flow Cytometry,processedandfinalcomparisons/Marotz2021_scale.csv,scale,sample.ID,Measured,total,Human,Saliva,,,,,,,
Marotz2021,16S rRNA,,,Flow Cytometry,counts/Marotz_2021_16S.csv,,,,counts,Human,Saliva,,,,,,,
Vandeputte2021 (MLP Training data),16S rRNA,,,Flow Cytometry,metadata/Vandeputte_2021_metadata.csv,,,,metadata,Human,Fecal,,,,,,,
VandeVelde2022,16S rRNA,,,Flow Cytometry,metadata/VandeVelde_2022_metadata.csv,,Sample_ID,,metadata,Human,Fecal Cultures,Prefix,,,,,,
Pereira2023,16S rRNA,,,Flow Cytometry,metadata/Pereira_2023_metadata.csv,,Sequencing sample ID,,metadata,Human,Fecal,condition,time..hours.,medium,replicate,,,
Krawczyk2022,16S rRNA,,,qPCR,metadata/Krawczyk_2022_metadata.csv,,Sample ID,,metadata,Tick,Whole organism,Life stage Sex,Location,,,,,
Liao2021,16S rRNA,,,qPCR,metadata/Liao_2021_metadata.csv,,SampleID,,metadata,Human,Fecal,VanA,Consistency,Pool,Timepoint,,,
Stammler2016,16S rRNA,,,qPCR,metadata/Stammler_2016_metadata.csv,,SampleID,,metadata,Mice,Fecal,Dilution,Treatment,Background,,,,
Marotz2021,16S rRNA,,,Flow Cytometry,metadata/Marotz_2021_metadata.csv,,saliva_sample_ID,,metadata,Human,Saliva,Treatment_code,gender,age,mouthwash_regularly.,processing,,
GALAXY (MLP Training data),shotgun metagenomics,,,Flow Cytometry,metadata/GALAXY_metadata.csv,,ID,,metadata,Human,Fecal,cohort,,,,,,
MetaCardis (MLP Training data),shotgun metagenomics,,,Flow Cytometry,metadata/MetaCardis_metadata.csv,,SampleID,,metadata,Human,Fecal,PatientGroup,SMOKE,Gender,CENTER,AGE,cohort,pa_work_2cl
Global2024,shotgun metagenomics,,,None,metadata/Global_2024_metadata.csv,,sample_alias,,metadata,Human,Fecal,,,,,,,
Vandeputte2017,16S rRNA,,,Flow Cytometry,metadata/Vandeputte_2017_metadata2.csv,,sampleID,,metadata,Human,Fecal,status,,,,,,
Dreier2022,16S rRNA,,,qPCR,processedandfinalcomparisons/Dreier2022_scale.csv,Avg_Calibrated_rConc,Sample Name,Measured,total,Cheese,Cheese,,,,,,,
Viera-Silva2019,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Viera-Silva2019_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Viera-Silva2019,16S rRNA,,,Flow Cytometry,counts/VieraSilva_2019_16S.csv,,,,relative,Human,Fecal,,,,,,,
Viera-Silva2019,16S rRNA,,,Flow Cytometry,processedandfinalcomparisons/Viera-Silva2019_scale.csv,Average faecal cell count (cells/g),ID,Measured,total,Human,Fecal,,,,,,,
Viera-Silva2019,16S rRNA,,,Flow Cytometry,metadata/VieraSilva_2019_metadata.csv,,ID,,metadata,Human,Fecal,Diagnosis,Age,Gender,BMI,,,
Contijoch2019,shotgun metagenomics,GALAXY,metaphlan4,qPCR,processedandfinalcomparisons/Contijoch2019_G_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Contijoch2019,shotgun metagenomics,MetaCardis,metaphlan4,qPCR,processedandfinalcomparisons/Contijoch2019_MC_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Contijoch2019,shotgun metagenomics,,,qPCR,counts/Contijoch_2019_shotgunmetagenomics.csv,,,,counts,Human,Fecal,,,,,,,
Contijoch2019,shotgun metagenomics,,,qPCR,metadata/Contijoch_metadata.csv,,Sample Name,,metadata,Human,Fecal,experimental_timepoint,sample_mass,,,,,
Contijoch2019,shotgun metagenomics,,,qPCR,processedandfinalcomparisons/Contijoch2019_scale.csv,microbial_density,Sample Name,Measured,total,Human,Fecal,,,,,,,
Contijoch2019 16S,16S rRNA,,,qPCR,metadata/Contijoch_2019_metadata.csv,,Sample Name,,metadata,Mixed,Fecal,experimental_group,condition_at_sampling,experimental_timepoint,Organism,sample_mass_mg,animal_id,
Contijoch2019 16S,16S rRNA,,,qPCR,counts/Contijoch_2019_16S.csv,,,,counts,Mixed,Fecal,,,,,,,
Contijoch2019 16S,16S rRNA,Vandeputte2021,rdp,qPCR,processedandfinalcomparisons/Contijoch2019 16S_predicted16s.csv,load,sample.ID,Predicted,total,Mixed,Fecal,,,,,,,
Contijoch2019 16S,16S rRNA,,,qPCR,processedandfinalcomparisons/Contijoch2019 16S_scale.csv,microbial_density,Sample Name,Measured,total,Mixed,Fecal,,,,,,,
Alessandri2024,shotgun metagenomics,GALAXY,metaphlan4,Flow Cytometry,processedandfinalcomparisons/Alessandri2024_G_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Alessandri2024,shotgun metagenomics,MetaCardis,metaphlan4,Flow Cytometry,processedandfinalcomparisons/Alessandri2024_MC_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Alessandri2024,shotgun metagenomics,,,Flow Cytometry,counts/Alessandri_2024_shotgunmetagenomics.csv,,,,counts,Human,Fecal,,,,,,,
Alessandri2024,shotgun metagenomics,,,Flow Cytometry,metadata/Alessandri_2024_metadata.csv,,Sample.Name,,metadata,Human,Fecal,treatmentfromlibraryname,env_broad_scale,,,,,
Alessandri2024,shotgun metagenomics,,,Flow Cytometry,processedandfinalcomparisons/Alessandri2024_scale.csv,Bacterial total count,Sample,Measured,total,Human,Fecal,,,,,,,
Maghini2023,shotgun metagenomics,GALAXY,metaphlan4,qPCR,processedandfinalcomparisons/Maghini2023_G_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Maghini2023,shotgun metagenomics,MetaCardis,metaphlan4,qPCR,processedandfinalcomparisons/Maghini2023_MC_predictedshotgunmetagenomics.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Maghini2023,shotgun metagenomics,,,qPCR,counts/Maghini_2023_shotgunmetagenomics.csv,,,,counts,Human,Fecal,,,,,,,
Maghini2023,shotgun metagenomics,,,qPCR,metadata/Maghini_2023_metadata.csv,,Library.Name,,metadata,Human,Fecal,Device,samp_mat_process,Donor,,,,
Maghini2023,shotgun metagenomics,,,qPCR,processedandfinalcomparisons/Maghini2023_scale.csv,CopyNumber,ID,Measured,total,Human,Fecal,,,,,,,
